Line #,Designator,Name,Description,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","SW1","PCM12SMTR","Ultraminiature Slide Switch, SPDT, 0.3 A, 6 V, -20 to 85 degC, 3-Pin SMD, RoHS, Tape and Reel","1","ITT C&K","PCM12SMTR","Volume Production","Allied Electronics","70417448","0.43195","43.2"
"","SW2","USLPT3026BL1TR","Low-Profile Tactile Switch, SPST, 50 mA, 12 VDC, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel","1","TE Connectivity","USLPT3026BL1TR","Unknown","Farnell","2990969","0.41","41"
"","U1","BQ25504RGTT","Ultra Low Power Boost Converter with Battery Management for Energy Harvester App, 0.13 V, -40 to 85 degC, 16-pin QFN (RGT), Green (RoHS & no Sb/Br)","1","Texas Instruments","BQ25504RGTT","Volume Production","Newark","76T8906","1.93","193.47"
"","U2","BQ21040DBVR","0.8A Single Input Single-Cell Li-Ion and Li-Pol Battery Charger","1","Texas Instruments","BQ21040DBVR","Unknown","Mouser","595-BQ21040DBVR","0.56777","56.78"
"","U3","XCL210C33","3.3V 200mA Inductor Built-in Step-Down “micro DC/DC” Converter","1","Torex","XCL210C331GR-G","Volume Production","Digi-Key","893-1255-1-ND","1.6","160.13"
"","U4","nRF52832-QFAAB0","Multi-protocol Bluetooth Low Energy, ANT and 2.4GHz proprietary system-on-chip","1","Nordic Semiconductor","NRF52832-QFAA-R","Volume Production","Arrow","NRF52832-QFAA-R","3.22","322.03"
"","U5","BMI160","BMI160, IMUs - Inertial Measurement Units 6-Axis 950uA","1","Bosch","BMI160","Unknown","Digi-Key","828-1057-6-ND","2.31","231.41"
"","U6","SST26VF032-80-5I-S2AE","32 Mbit Serial Quad I/O (SQI) Flash Memory, 2.7 to 3.6 V, 80 MHz, -40 to 85 degC, 8-pin SOIC (S2A8), Tube","1","Microchip","SST26VF032-80-5I-S2AE","Volume Production","Farnell","3052582","1.58","158"
"","U7","LPS22HB","MEMS nano pressure sensor: 260-1260 hPa absolute digital output barometer","1","STMicroelectronics","LPS22HBTR","Volume Production","Arrow","LPS22HBTR","1.51","150.91"
"","U8","BME680","Combined Humidity and Pressure Sensor, 1.71 to 3.6 V, -40 to 85 degC, 8-Pin SMD, RoHS, Tape and Reel","1","Bosch Sensortec","BME680","Unknown","Digi-Key","828-1077-1-ND","6.4","639.54"
"","U9","MP34DT05","MEMS audio sensor omnidirectional digital microphone","1","STMicroelectronics","MP34DT05TR-A","Unknown","Future Electronics","MP34DT05TR-A-CUTT","0.61594","61.59"
"","U10","BH1745NUC","Digital 16bit Serial Output Type Color Sensor IC","1","Rohm","BH1745NUC-E2","Volume Production","Mouser","755-BH1745NUC-E2","0.91602","91.6"
"","U11","NX3DV2567","Low-ohmic four-pole double-throw analog switch","1","NXP Semiconductors","NX3DV2567GU,115","Volume Production","Arrow","NX3DV2567GU,115","0.25459","25.46"
"","X1","32.768kHz","XTAL SMD 2012, 32.768kHz, 9pF, ±20ppm","1","Abracon","ABS06-32.768KHZ-9-1-T","Volume Production","Digi-Key","535-10247-1-ND","0.51163","51.16"
"","X2","32MHz","XTAL SMD 2016, 32MHz, Cl=8pF, Tot: ±40ppm","1","Kyocera AVX","CX2016DB32000D0WZRC1","Volume Production","Arrow","CX2016DB32000D0WZRC1","0.39436","39.44"
