Designator,Name,Quantity,Description,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"R23","21k5","1","Resistor, ±1%, 0.063W","Vishay","CRCW040221K5FKED","Volume Production","Mouser","71-CRCW0402-21.5K-E3","0.07897","0.07897"
"SD1","DM3D-SF","1","Micro SD Card Connector, Push-Pull, Top Board Mounting, 125 V, 0.5 A, -25 to 85 degC, 8-Pin SMD, RoHS, Tape and Reel","Hirose","DM3D-SF","Volume Production","Future Electronics","DM3D-SF-CUTT","1","1"
"SW1","PCM12SMTR","1","Ultraminiature Slide Switch, SPDT, 0.3 A, 6 V, -20 to 85 degC, 3-Pin SMD, RoHS, Tape and Reel","ITT C&K","PCM12SMTR","Volume Production","Allied Electronics","70417448","0.46433","0.46433"
"SW2","USLPT3026BL1TR","1","Low-Profile Tactile Switch, SPST, 50 mA, 12 VDC, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel","TE Connectivity","USLPT3026BL1TR","","Farnell","2990969","0.475","2.38"
"U1","BQ25504RGTT","1","Ultra Low Power Boost Converter with Battery Management for Energy Harvester App, 0.13 V, -40 to 85 degC, 16-pin QFN (RGT), Green (RoHS & no Sb/Br)","Texas Instruments","BQ25504RGTT","Volume Production","Newark","76T8906","1.93","1.93"
"U2","BQ21040DBVR","1","0.8A Single Input Single-Cell Li-Ion and Li-Pol Battery Charger","Texas Instruments","BQ21040DBVR","","Mouser","595-BQ21040DBVR","0.86864","0.86864"
"U3","XCL210C33","1","3.3V 200mA Inductor Built-in Step-Down “micro DC/DC” Converter","Torex","XCL210C331GR-G","Volume Production","Digi-Key","893-1255-6-ND","2.2","2.2"
"U4","nRF52832-QFAAB0","1","Multi-protocol Bluetooth Low Energy, ANT and 2.4GHz proprietary system-on-chip","Nordic Semiconductor","NRF52832-QFAA-R","Volume Production","Arrow","NRF52832-QFAA-R","4.24","4.24"
"U5","BMI160","1","BMI160, IMUs - Inertial Measurement Units 6-Axis 950uA","Bosch","BMI160","","Future Electronics","BMI160-CUTT","3.5","3.5"
"U6","SST26VF032-80-5I-S2AE","1","32 Mbit Serial Quad I/O (SQI) Flash Memory, 2.7 to 3.6 V, 80 MHz, -40 to 85 degC, 8-pin SOIC (S2A8), Tube","Microchip","SST26VF032-80-5I-S2AE","Volume Production","Arrow","SST26VF032-80-5I-S2AE","2.16","2.16"
"U7","LPS22HB","1","MEMS nano pressure sensor: 260-1260 hPa absolute digital output barometer","STMicroelectronics","LPS22HBTR","Volume Production","Arrow","LPS22HBTR","1.94","1.94"
"U8","BME680","1","Combined Humidity and Pressure Sensor, 1.71 to 3.6 V, -40 to 85 degC, 8-Pin SMD, RoHS, Tape and Reel","Bosch Sensortec","BME680","","Arrow","BME680","9.96","9.96"
"U9","MP34DT05","1","MEMS audio sensor omnidirectional digital microphone","STMicroelectronics","MP34DT05TR-A","","Future Electronics","MP34DT05TR-A-CUTT","0.75019","0.75019"
"U10","BH1745NUC","1","Digital 16bit Serial Output Type Color Sensor IC","Rohm","BH1745NUC-E2","Volume Production","Farnell","2663354","1.2","1.2"
"U11","NX3DV2567","1","Low-ohmic four-pole double-throw analog switch","NXP Semiconductors","NX3DV2567GU,115","Volume Production","Arrow","NX3DV2567GU,115","0.437","0.437"
"X1","32.768kHz","1","XTAL SMD 2012, 32.768kHz, 9pF, ±20ppm","Abracon","ABS06-32.768KHZ-9-1-T","Volume Production","Future Electronics","ABS06-32.768KHZ-9-1-T-CUTT","0.42247","0.42247"
"X2","32MHz","1","XTAL SMD 2016, 32MHz, Cl=8pF, Tot: ±40ppm","Kyocera AVX","CX2016DB32000D0WZRC1","Volume Production","Arrow","CX2016DB32000D0WZRC1","0.55948","0.55948"
